Horodateur	Votre université :	Votre classement :	Note à l'UC1 : (avec une virgule et pas un point)	UC1/20	Note à l'UC2 : (avec une virgule et pas un point)	UC2/20	Note à l'UC3 : (avec une virgule et pas un point)	UC3/20	Note à la LCA : (avec une virgule et pas un point)	LCA/20	Votre classement au concours blancs (après l'ensemble des UC d'avril) ?	Note total
30/06/2023 13:18	Nancy	6972	68,4	14,4	70,02	14,74	68,62	14,45	23,6	9,08	6067	230,64
30/06/2023 13:19	Reims	3468	77,35	16,28	72,82	15,33	70,58	14,86	33,6	12,92	4990	254,35
30/06/2023 13:22	Paris 12 (Créteil)	909	78,65	16,56	81,25	17,11	79,1	16,65	32,4	12,46	863	271,4
30/06/2023 13:22	Dijon	7809	62,35	13,13	68,2	14,36	66,47	13,99	24,8	9,54	0	221,82
30/06/2023 13:22	Lyon Est	427	79,85	16,81	83,48	17,57	75,43	15,88	38,6	14,85	391	277,36
30/06/2023 13:23	Lyon Est	1241	76	16	77,78	16,37	73,53	15,48	41,2	15,85	889	268,51
30/06/2023 13:23	Caen	6256	66,05	13,91	68,67	14,46	70,67	14,88	31,4	12,08	8000 qqch mais pas representatif une epreuve non faite	236,79
30/06/2023 13:23	Caen	685	78,75	16,58	80,35	16,92	77,77	16,37	37,2	14,31	418	274,07
30/06/2023 13:24	Bordeaux	1710	79,6	16,76	80,2	16,88	75,43	15,88	30	11,54	660	265,23
30/06/2023 13:25	Caen	299	81,7	17,2	82,3	17,33	79	16,63	36,2	13,92	317	279,2
30/06/2023 13:25	Paris saclay	3958	73,07	15,38	69,03	14,53	74,57	15,7	35,2	13,54	4670	251,87
30/06/2023 13:25	Aix Marseille	140	82,55	17,38	86,63	18,24	78,23	16,47	36	13,85	243	283,41
30/06/2023 13:25	Paris Saclay	1102	79,35	16,71	80,58	16,96	76,63	16,13	33,2	12,77	2900	269,76
30/06/2023 13:26	Marseille	5398	68,37	14,39	66,63	14,03	70,1	14,76	37,8	14,54	5900 (pas fait avril)	242,9
30/06/2023 13:26	Dijon	2385	77,25	16,26	76,93	16,2	71,83	15,12	34,8	13,38	2900	260,81
30/06/2023 13:26	Dijon	7842	66,25	13,95	59,23	12,47	65,17	13,72	30,6	11,77	7002	221,25
30/06/2023 13:26	Lyon-Est	90	83,15	17,51	83,65	17,61	83,23	17,52	36	13,85	35	286,03
30/06/2023 13:27	Poitiers	610	76,75	16,16	78,83	16,6	74,98	15,79	44,4	17,08	145	274,96
30/06/2023 13:28	Tours	650	78,4	16,51	81,82	17,23	79,7	16,78	34,6	13,31	1317	274,52
30/06/2023 13:28	Paris Ouest	3630	74,15	15,61	77,73	16,36	69,3	14,59	32,4	12,46	4125	253,58
